parameter,value,unit
Ri,0.012827,
Rn,0.0058703,
Ro,8.2644,
Vc,80.0,mV
Zc,0.33357,
kc,0.99999,/ms
ki,0.0051256,/ms
kn,0.47581,/ms
ko,0.001,/ms
ric_c,0.031848,
ric_n,0.0059406,
vc_ic,10.0,
vic_c,13.72,
vic_n,68.3431,
vn_ic,1.1037,
