parameter,value,unit
Hkc,0.26702,/K
Hki,-0.41985,/K
Hkn,0.80975,/K
Hri,0.52921,/K
Hric_n,0.6133,/K
Hrn,0.33858,/K
Hvc,-0.88066,/K
Hvic_c,1.0,/K
Hvic_n,0.15689,/K
Hvn_ic,0.98033,/K
Ri,39.328,
Rn,0.10576,
Ro,1.4246,
Vc,-32.1238,mV
Zc,0.59906,
kc,0.56189,/ms
ki,0.00098537,/ms
kn,4.6661,/ms
ko,0.26653,/ms
ric_c,0.8559,
ric_n,392.1773,
vc_ic,0.3896,
vic_c,1.3386,
vic_n,0.001,
vn_ic,0.1,
