parameter,value,unit
Ri,0.070661,
Ro,0.41716,
Vc,-14.935,mV
Zc,0.71586,
kc,1.0,/ms
ki,0.0078293,/ms
ko,3.277,/ms
ric_c,0.000038928,
vc_ic,9.9985,
vic_c,931.7134,
