parameter,value,unit
Hkc,0.080342,/K
Hki,0.030785,/K
Hri,-0.10585,/K
Hvc,0.50516,/K
Hvic_c,0.99998,/K
Ri,0.20029,
Ro,1.3437,
Vc,-13.5999,mV
Zc,0.54395,
kc,1.0,/ms
ki,0.00093184,/ms
ko,0.73069,/ms
ric_c,0.00042486,
vc_ic,0.1,
vic_c,33.1197,
