parameter,value,unit
Ri,0.0070113,
Rn,0.064935,
Ro,3.9774,
Vc,-13.05,mV
Zc,0.69667,
kc,0.89441,/ms
ki,0.01581,/ms
kn,0.034792,/ms
ko,1.1714,/ms
ric_c,0.00038519,
ric_n,0.02397,
vc_ic,10.0,
vic_c,810.7979,
vic_n,0.001,
vn_ic,0.28514,
