parameter,value,unit
Hkc,0.05631,/K
Hki,0.49183,/K
Hkn,-0.67479,/K
Hri,-0.39967,/K
Hric_n,-0.91304,/K
Hrn,-0.20956,/K
Hvc,-0.99021,/K
Hvic_c,-0.99981,/K
Hvic_n,1.0,/K
Hvn_ic,0.57729,/K
Ri,4.3751,
Rn,0.16945,
Vc,4.9659,mV
Zc,1.2924,
kc,0.056746,/ms
ki,0.00016861,/ms
kn,10.0,/ms
ric_c,0.5651,
ric_n,8.7514,
vc_ic,10.0,
vic_c,1.2104,
vic_n,2.1577,
vn_ic,1.3031,
