parameter,value,unit
Hkc,-0.21123,/K
Hki,-0.0671,/K
Hkn,-0.27243,/K
Hri,-0.80829,/K
Hric_n,-0.88342,/K
Hrn,-0.05088,/K
Hvc,0.99998,/K
Hvic_c,-0.62661,/K
Hvic_n,0.65851,/K
Hvn_ic,0.10664,/K
Ri,7.6081,
Rn,0.038126,
Vc,48.6162,mV
Zc,0.90146,
kc,0.059607,/ms
ki,0.00010915,/ms
kn,9.998,/ms
ric_c,0.94371,
ric_n,9.4254,
vc_ic,0.10007,
vic_c,0.0010001,
vic_n,36.7964,
vn_ic,0.1,
