parameter,value,unit
Hkc,0.13682,/K
Hki,0.1844,/K
Hri,-0.12003,/K
Hvc,0.94193,/K
Hvic_c,-0.037235,/K
Ri,0.71415,
Ro,0.1923,
Vc,-28.2258,mV
Zc,1.0446,
kc,0.14668,/ms
ki,0.0018665,/ms
ko,7.1069,/ms
ric_c,0.25154,
vc_ic,10.0,
vic_c,1.0102,
