parameter,value,unit
Hkc,0.10263,/K
Hki,0.072858,/K
Hkn,-0.78272,/K
Hri,-0.085355,/K
Hric_n,-0.19363,/K
Hrn,-0.072231,/K
Hvc,-0.02947,/K
Hvic_c,0.029477,/K
Hvic_n,0.20871,/K
Hvn_ic,1.0,/K
Ri,5.1825,
Rn,0.84981,
Vc,18.7224,mV
Zc,0.94451,
kc,0.03933,/ms
ki,0.00010012,/ms
kn,10.0,/ms
ric_c,0.10123,
ric_n,499.19,
vc_ic,9.9998,
vic_c,73.8456,
vic_n,0.021606,
vn_ic,0.1,
