parameter,value,unit
Hkc,0.094439,/K
Hki,-0.32872,/K
Hkn,0.41042,/K
Hri,0.08838,/K
Hric_n,0.23642,/K
Hrn,0.032063,/K
Hvc,0.82747,mV/K
Hvic_c,-0.13046,/K
Hvic_n,0.38128,/K
Hvn_ic,-0.58466,/K
Ri,0.54259,
Rn,0.63926,
Ro,0.32695,
Vc,-25.9622,mV
Zc,1.011,
kc,0.1363,/ms
ki,0.85861,/ms
kn,0.01,/ms
ko,7.0573,/ms
ric_c,0.3844,
ric_n,1.1216,
vc_ic,0.1,
vic_c,0.0012659,
vic_n,0.0010451,
vn_ic,0.1,
