parameter,value,unit
Hkc,-0.27069,/K
Hki,0.45952,/K
Hkn,-1.0,/K
Hri,-0.66586,/K
Hric_n,-0.99999,/K
Hrn,0.95888,/K
Hvc,-0.99999,/K
Hvic_c,-1.0,/K
Hvic_n,-0.33062,/K
Hvn_ic,1.0,/K
Ri,67.4126,
Rn,18.4755,
Vc,55.9506,mV
Zc,0.82653,
kc,0.12486,/ms
ki,0.00034315,/ms
kn,10.0,/ms
ric_c,1.0,
ric_n,1.9337,
vc_ic,0.1,
vic_c,0.001,
vic_n,0.053694,
vn_ic,10.0,
