parameter,value,unit
Hkc,0.12705,/K
Hki,0.11925,/K
Hri,0.20967,/K
Hvc,-1.0,/K
Hvic_c,-0.30853,/K
Ri,0.046207,
Vc,-10.2884,mV
Zc,1.0363,
kc,0.03634,/ms
ki,0.00042427,/ms
ric_c,0.00032987,
vc_ic,10.7348,
vic_c,1000.0,
