parameter,value,unit
Ri,3.7363,
Rn,6.1432,
Vc,13.5038,mV
Zc,1.1165,
kc,0.2414,/ms
ki,0.00076186,/ms
kn,0.01,/ms
ric_c,0.033171,
ric_n,163.369,
vc_ic,1.5825,
vic_c,1000.0,
vic_n,0.064638,
vn_ic,0.1,
