parameter,value,unit
Hkc,0.10505,/K
Hki,-0.25053,/K
Hkn,-0.19376,/K
Hri,0.22453,/K
Hric_n,0.51035,/K
Hrn,0.49354,/K
Hvc,0.14568,/K
Hvic_c,0.32927,/K
Hvic_n,0.28353,/K
Hvn_ic,0.77292,/K
Ri,0.0036184,
Rn,50.2266,
Vc,-8.9915,mV
Zc,1.9595,
kc,0.028182,/ms
ki,0.014232,/ms
kn,9.9976,/ms
ric_c,0.057139,
ric_n,0.4536,
vc_ic,9.9987,
vic_c,0.001041,
vic_n,839.0332,
vn_ic,0.20573,
