parameter,value,unit
Hkc,0.1002,/K
Hki,0.25827,/K
Hri,-0.058657,/K
Hvc,-0.038015,/K
Hvic_c,-0.67989,/K
Ri,0.34504,
Vc,-13.3214,mV
Zc,1.68,
kc,0.01726,/ms
ki,0.00084292,/ms
ric_c,0.00093952,
vc_ic,848.4503,
vic_c,1000.0,
