parameter,value,unit
Ri,0.051986,
Ro,1.3292,
Vc,-10.8748,mV
Zc,0.60376,
kc,0.88817,/ms
ki,0.0044245,/ms
ko,1.1781,/ms
ric_c,0.0015254,
vc_ic,0.1,
vic_c,999.988,
