parameter,value,unit
Hkc,0.078666,/K
Hki,0.1224,/K
Hkn,-0.43947,/K
Hri,0.56642,/K
Hric_n,0.23032,/K
Hrn,-0.14856,/K
Hvc,0.501,/K
Hvic_c,1.0,/K
Hvic_n,-0.41335,/K
Hvn_ic,1.0,/K
Ri,8.6163,
Rn,0.1897,
Vc,-13.2731,mV
Zc,1.5254,
kc,0.05117,/ms
ki,0.010217,/ms
kn,0.019945,/ms
ric_c,1.0,
ric_n,137.5808,
vc_ic,10.0,
vic_c,22.8906,
vic_n,0.0036417,
vn_ic,0.15513,
