parameter,value,unit
Hkc,-0.23007,/K
Hki,0.73963,/K
Hkn,0.1194,/K
Hri,-0.015537,/K
Hric_n,-0.33936,/K
Hrn,0.23669,/K
Hvc,1.0,/K
Hvic_c,-0.90905,/K
Hvic_n,0.94289,/K
Hvn_ic,1.0,/K
Ri,4.6749,
Rn,0.059481,
Ro,10.0,
Vc,-6.2187,mV
Zc,0.38395,
kc,0.99997,/ms
ki,1.0,/ms
kn,1.5658,/ms
ko,0.0011199,/ms
ric_c,0.619,
ric_n,129.9917,
vc_ic,10.0,
vic_c,0.064507,
vic_n,3.6886,
vn_ic,0.1,
