parameter,value,unit
Hkc,0.28002,/K
Hki,0.021007,/K
Hri,0.085629,/K
Hvc,0.284,/K
Hvic_c,-1.0,/K
Ri,0.015983,
Ro,0.13832,
Vc,-14.7866,mV
Zc,0.49984,
kc,0.92782,/ms
ki,0.033024,/ms
ko,1.9197,/ms
ric_c,0.032201,
vc_ic,10.0,
vic_c,1.4201,
