parameter,value,unit
Hkc,0.056632,/K
Hki,-0.22948,/K
Hkn,-0.49851,/K
Hri,0.24717,/K
Hric_n,0.23975,/K
Hrn,-0.099499,/K
Hvc,0.40089,/K
Hvic_c,0.035241,/K
Hvic_n,0.14276,/K
Hvn_ic,0.93066,/K
Ri,8.4896,
Rn,0.45938,
Ro,1.1913,
Vc,-10.2025,mV
Zc,0.58554,
kc,0.91192,/ms
ki,0.00010012,/ms
kn,0.44682,/ms
ko,0.7917,/ms
ric_c,0.35317,
ric_n,8.5791,
vc_ic,1.5579,
vic_c,51.3185,
vic_n,0.12898,
vn_ic,0.1,
