parameter,value,unit
Hkc,0.30888,/K
Hki,-0.60713,/K
Hri,-0.13615,/K
Hvc,-1.0,/K
Hvic_c,0.94022,/K
Ri,0.50138,
Ro,0.727,
Vc,-27.6906,mV
Zc,0.4859,
kc,0.99998,/ms
ki,0.99937,/ms
ko,0.42166,/ms
ric_c,0.00021763,
vc_ic,10.0,
vic_c,0.093493,
