parameter,value,unit
Ri,0.77856,
Rn,0.16104,
Ro,2.8357,
Vc,-17.6434,mV
Zc,0.72568,
kc,0.4075,/ms
ki,0.00015772,/ms
kn,0.041522,/ms
ko,0.77007,/ms
ric_c,0.18169,
ric_n,1.216,
vc_ic,10.0,
vic_c,44.2905,
vic_n,10.887,
vn_ic,0.1472,
