parameter,value,unit
Ri,37.4397,
Rn,1.1159,
Ro,0.5047,
Vc,-12.0248,mV
Zc,0.68005,
kc,0.99938,/ms
ki,0.0009537,/ms
kn,0.62231,/ms
ko,2.4547,/ms
ric_c,0.82014,
ric_n,1000.0,
vc_ic,10.0,
vic_c,0.4343,
vic_n,0.014156,
vn_ic,10.0,
