parameter,value,unit
Ri,0.074237,
Rn,1.8361,
Vc,-2.5864,mV
Zc,1.8303,
kc,0.083146,/ms
ki,0.0047243,/ms
kn,0.16546,/ms
ric_c,0.002029,
ric_n,0.089194,
vc_ic,10.0,
vic_c,4.2919,
vic_n,13.947,
vn_ic,0.1,
