parameter,value,unit
Hkc,-0.70764,/K
Hki,-0.0077785,/K
Hkn,-0.077009,/K
Hri,-0.4474,/K
Hric_n,-0.47841,/K
Hrn,-0.036846,/K
Hvc,1.0,/K
Hvic_c,-1.0,/K
Hvic_n,1.0,/K
Hvn_ic,-0.16696,/K
Ri,3.5827,
Rn,0.013215,
Ro,10.0,
Vc,26.6164,mV
Zc,0.30283,
kc,1.0,/ms
ki,0.42266,/ms
kn,0.14925,/ms
ko,0.001,/ms
ric_c,0.082092,
ric_n,40.8694,
vc_ic,10.0,
vic_c,2.3096,
vic_n,0.001,
vn_ic,9.9996,
