parameter,value,unit
Hkc,0.10752,/K
Hki,-0.56695,/K
Hkn,0.068919,/K
Hri,0.22606,/K
Hric_n,0.25057,/K
Hrn,-0.02059,/K
Hvc,0.77651,mV/K
Hvic_c,1.0,/K
Hvic_n,0.40691,/K
Hvn_ic,1.0,/K
Ri,2.913,
Rn,0.18393,
Ro,0.26544,
Vc,-23.1808,mV
Zc,0.92845,
kc,0.19029,/ms
ki,0.015772,/ms
kn,0.019547,/ms
ko,7.5386,/ms
ric_c,0.16548,
ric_n,87.7289,
vc_ic,10.0,
vic_c,155.0744,
vic_n,0.001,
vn_ic,0.19026,
