parameter,value,unit
Hkc,0.061549,/K
Hki,0.049837,/K
Hri,-0.11987,/K
Hvc,0.43724,/K
Hvic_c,1.0,/K
Ri,0.58393,
Vc,14.1318,mV
Zc,0.91916,
kc,0.24665,/ms
ki,0.00044953,/ms
ric_c,0.012983,
vc_ic,0.040774,
vic_c,1.5501,
