parameter,value,unit
Hkc,-0.65343,/K
Hki,-0.24066,/K
Hri,-0.08203,/K
Hvc,-0.23172,/K
Hvic_c,0.27207,/K
Ri,0.0036648,
Ro,0.0051099,
Vc,53.1121,mV
Zc,0.35379,
kc,0.41093,/ms
ki,0.16158,/ms
ko,0.0016559,/ms
ric_c,0.28527,
vc_ic,0.26477,
vic_c,0.044519,
