parameter,value,unit
Hkc,-0.058882,/K
Hki,-1.0,/K
Hri,-0.18277,/K
Hvc,0.13898,/K
Hvic_c,0.062581,/K
Ri,0.034976,
Vc,50.3584,mV
Zc,0.57571,
kc,0.024157,/ms
ki,1.0,/ms
ric_c,0.00025865,
vc_ic,1000.0,
vic_c,0.0050857,
