parameter,value,unit
Ri,229.6416,
Rn,0.18212,
Vc,11.8836,mV
Zc,1.3128,
kc,0.38202,/ms
ki,0.00010026,/ms
kn,0.01,/ms
ric_c,0.95415,
ric_n,999.9965,
vc_ic,3.1517,
vic_c,1000.0,
vic_n,0.0057217,
vn_ic,10.0,
