parameter,value,unit
Hkc,0.078674,/K
Hki,0.042878,/K
Hri,-0.023241,/K
Hvc,-0.30243,/K
Hvic_c,-0.14912,/K
Ri,0.082288,
Vc,-19.5329,mV
Zc,1.7948,
kc,0.011648,/ms
ki,0.098881,/ms
ric_c,0.0054315,
vc_ic,369.0818,
vic_c,0.011103,
