parameter,value,unit
Hkc,0.10653,/K
Hki,0.12612,/K
Hri,0.020326,/K
Hvc,-0.056997,/K
Hvic_c,0.084996,/K
Ri,0.018228,
Vc,12.1665,mV
Zc,0.92562,
kc,0.031349,/ms
ki,0.00070168,/ms
ric_c,0.00066319,
vc_ic,7.337,
vic_c,999.9978,
