parameter,value,unit
Ri,2.1783,
Rn,0.0013619,
Ro,0.0013968,
Vc,79.9999,mV
Zc,0.34635,
kc,0.99757,/ms
ki,0.00062362,/ms
kn,0.14236,/ms
ko,0.001,/ms
ric_c,0.39872,
ric_n,0.0010073,
vc_ic,10.0,
vic_c,1.4542,
vic_n,0.001,
vn_ic,9.9996,
