parameter,value,unit
Ri,0.0077474,
Rn,0.32841,
Ro,10.0,
Vc,-4.8179,mV
Zc,0.71061,
kc,1.,/ms
ki,0.025955,/ms
kn,0.01,/ms
ko,0.34412,/ms
ric_c,0.00032584,
ric_n,0.17732,
vc_ic,0.27801,
vic_c,889.894,
vic_n,14.4933,
vn_ic,0.10018,
