parameter,value,unit
Ri,1.3567,
Rn,0.031678,
Ro,2.6831,
Vc,-30.9315,mV
Zc,1.4398,
kc,0.2463,/ms
ki,0.0001,/ms
kn,0.42513,/ms
ko,0.49899,/ms
ric_c,0.18414,
ric_n,123.2257,
vc_ic,4.5526,
vic_c,1000.0,
vic_n,0.001,
vn_ic,10.0,
