parameter,value,unit
Hkc,0.14195,/K
Hki,0.17179,/K
Hri,-0.12865,/K
Hvc,0.90258,/K
Hvic_c,-0.7465,/K
Ri,0.85519,
Vc,-18.8081,mV
Zc,1.6574,
kc,0.032128,/ms
ki,0.0016865,/ms
ric_c,0.014227,
vc_ic,0.0022449,
vic_c,0.00306,
