parameter,value,unit
Hkc,-0.04047,/K
Hki,1.0,/K
Hkn,0.030207,/K
Hri,0.16228,/K
Hric_n,0.0031621,/K
Hrn,0.86208,/K
Hvc,0.12357,/K
Hvic_c,-0.7567,/K
Hvic_n,-0.99999,/K
Hvn_ic,-0.99097,/K
Ri,2.1385,
Rn,342.1935,
Ro,0.40115,
Vc,53.0609,mV
Zc,0.24743,
kc,1.0,/ms
ki,0.0001,/ms
kn,2.7721,/ms
ko,0.001,/ms
ric_c,0.75341,
ric_n,74.4995,
vc_ic,10.0,
vic_c,0.64039,
vic_n,999.7988,
vn_ic,9.9995,
